"FileName","TestParameter","TestLag","RegressionModel","Collection","ForwardPValue","ForwardIntersection","ForwardBeta","BackwardPValue","BackwardIntersection","BackwardBeta","Std","Result"
"AR_MENA.csv","Max.Temperature",1,"train_liear",1,2.31387282261333e-32,3.19626535169723,0.69081007289474,4.88899138126403e-56,3.16999528309711,0.686355809820273,6.48784270608845,"TRUE"
"AR_MENA.csv","Max.Temperature",1,"train_liear",2,1.75273619715995e-12,3.86162623737365,0.702100998218628,3.31848894084559e-33,3.65936589958113,0.702974763433204,6.46137435661671,"TRUE"
"AR_MENA.csv","Max.Temperature",1,"train_liear",3,5.66815489763817e-16,5.99312826826874,0.663904010292182,8.59981997923335e-44,5.45010589245027,0.674850123370962,5.93665282359403,"TRUE"
"AR_MENA.csv","Max.Temperature",1,"train_liear",4,1.54112723931293e-17,9.63387072923057,0.575207391214747,1.03212812881842e-43,9.36958822434248,0.579637277636448,4.50839452507602,"TRUE"
"AR_MENA.csv","Max.Temperature",1,"train_liear",5,2.9719783099661e-38,9.02437161968774,0.658707602486334,8.66417725640626e-93,8.57716812798158,0.666812367378781,3.53960456853475,"TRUE"
"AR_MENA.csv","Max.Temperature",1,"train_liear",6,1.16548341366212e-30,8.30352082694459,0.729604995432151,1.79656871154482e-94,7.7990387841173,0.739990194063712,3.02572214720525,"TRUE"
"AR_MENA.csv","Max.Temperature",1,"train_liear",7,7.41483504980881e-52,8.43044132734521,0.743690427600285,8.83413921229744e-102,8.48810764215952,0.739172412568526,3.24662448115266,"TRUE"
"AR_MENA.csv","Max.Temperature",1,"train_liear",8,9.62622558873647e-36,7.76748836182391,0.761482143697308,1.69382050302997e-121,7.89192758211005,0.760270029264639,3.52737466245343,"TRUE"
"AR_MENA.csv","Max.Temperature",1,"train_liear",9,1.56801158272181e-24,6.86819152067968,0.757613387078574,2.49292197271367e-154,7.43360078418688,0.749316513166694,3.94149428342166,"TRUE"
"AR_MENA.csv","Max.Temperature",1,"train_liear",10,8.91886825254267e-19,6.21808142552685,0.724579019982243,9.93802908124342e-114,6.78795053093293,0.71567390401103,4.45848151367261,"TRUE"
"AR_MENA.csv","Max.Temperature",1,"train_liear",11,1.21972499157178e-17,4.75739310256366,0.699209981576891,2.02117239195999e-71,5.09222945346008,0.701690390161384,5.35633084794274,"TRUE"
"AR_MENA.csv","Max.Temperature",1,"train_liear",12,6.42740908117869e-18,3.52868594441441,0.67304677732069,4.17401325438094e-35,3.75406253674495,0.671011230650668,5.91095919880851,"TRUE"
"AR_NEWPORT.csv","Max.Temperature",1,"train_liear",1,7.45908725841184e-45,2.67324602857775,0.701997477424814,1.83872629380577e-36,2.71969649768318,0.696261926976051,6.81970380524943,"FALSE"
"AR_NEWPORT.csv","Max.Temperature",1,"train_liear",2,8.16965003313235e-26,3.49967180290082,0.70385807804079,7.3408683920244e-26,3.15332469037421,0.712022698790082,6.77003578898776,"Inconclusive"
"AR_NEWPORT.csv","Max.Temperature",1,"train_liear",3,1.03190997231956e-12,5.19039816803475,0.705550126914808,6.52567166626638e-36,4.70321032791883,0.709204868696417,6.22916777440631,"TRUE"
"AR_NEWPORT.csv","Max.Temperature",1,"train_liear",4,1.82701729803535e-14,8.56191748674243,0.629076106481389,8.40746647969971e-61,8.11291533787161,0.638120501510057,4.89362379675775,"TRUE"
"AR_NEWPORT.csv","Max.Temperature",1,"train_liear",5,0,21.4629192908692,0.215069784451242,0,21.2844169752846,0.215553274148245,4.88319830381591,"Inconclusive"
"AR_NEWPORT.csv","Max.Temperature",1,"train_liear",6,1.75898124199479e-23,9.10005700534708,0.716137974742974,7.02688303225515e-123,8.40787420483999,0.731208812573237,3.31702059974539,"TRUE"
"AR_NEWPORT.csv","Max.Temperature",1,"train_liear",7,1.08187038454756e-27,9.71133046034731,0.711365927162595,8.10591374604301e-122,9.75000221751862,0.708707157779153,3.16695731762253,"TRUE"
"AR_NEWPORT.csv","Max.Temperature",1,"train_liear",8,3.78282822119753e-36,9.28909740419973,0.717928191067027,2.85157484834083e-124,9.29486247479247,0.720594630484952,3.47586923271274,"TRUE"
"AR_NEWPORT.csv","Max.Temperature",1,"train_liear",9,2.60466783918044e-20,7.32748345738421,0.747023524560966,3.85448019740773e-176,8.00812508945387,0.734118551445987,4.1130010009469,"TRUE"
"AR_NEWPORT.csv","Max.Temperature",1,"train_liear",10,1.87342727907479e-20,6.39740873800151,0.722974139848556,2.9935900667938e-124,6.86470621447132,0.71715363457452,4.76640258158239,"TRUE"
"AR_NEWPORT.csv","Max.Temperature",1,"train_liear",11,2.79274139530931e-24,4.68389396291928,0.702382067630573,1.8154685593211e-47,4.98647016636555,0.708399179907978,5.5787674560406,"TRUE"
"AR_NEWPORT.csv","Max.Temperature",1,"train_liear",12,5.68368722326363e-27,3.22300910528591,0.685770358759345,4.43460332621872e-28,3.49130744718048,0.678975126613343,6.09978161628413,"TRUE"
"AR_PINE_BLUFF.csv","Max.Temperature",1,"train_liear",1,6.02489591121558e-54,3.71513784023751,0.682980782003658,1.08237027248761e-55,3.73659440556861,0.676969828685435,6.99959157786298,"TRUE"
"AR_PINE_BLUFF.csv","Max.Temperature",1,"train_liear",2,7.07319894578517e-25,4.49361631969477,0.684994780661731,2.02396247113918e-38,4.17633669595495,0.692459698814614,6.82329655175226,"TRUE"
"AR_PINE_BLUFF.csv","Max.Temperature",1,"train_liear",3,3.42813860014013e-20,6.57988704847707,0.662494018287876,5.10577991063307e-49,6.05168865818256,0.669906948363672,6.25411442092218,"TRUE"
